Date ,Ward,Cumulative_cases,Num_of_sealed_buildings,Num_of_containment_zones_slums_and_chawls,Num_of_sealed_floors
2020-09-10,GN,9042,412,13,
2020-09-10,GS,6682,206,6,
2020-09-10,HE,5280,250,17,
2020-09-10,HW,4794,326,8,
2020-09-10,KE,9676,356,44,
2020-09-10,KW,9333,616,33,
2020-09-10,L,6566,123,61,
2020-09-10,ME,5354,89,29,
2020-09-10,MW,4656,181,7,
2020-09-10,N,8249,476,12,
2020-09-10,PN,9724,519,25,
2020-09-10,PS,5713,374,19,
2020-09-10,RC,9713,823,10,
2020-09-10,RN,4509,347,41,
2020-09-10,RS,8330,720,22,
2020-09-10,S,8467,119,59,
2020-09-10,T,7210,416,33,
2020-09-11,A,4060,98,15,
2020-09-11,B,1385,84,5,
2020-09-11,C,2326,91,15,
2020-09-11,D,7181,154,11,
2020-09-11,E,6231,37,15,
2020-09-11,FN,6279,216,10,
2020-09-11,FS,7290,189,31,
2020-09-11,GN,9137,424,13,
2020-09-11,GS,6757,211,6,
2020-09-11,HE,5361,240,17,
2020-09-11,HW,4879,340,8,
2020-09-11,KE,9793,479,44,
2020-09-11,KW,9485,656,32,
2020-09-11,L,6618,125,61,
2020-09-11,ME,5403,86,28,
2020-09-11,MW,4708,174,7,
2020-09-11,N,8350,501,13,
2020-09-11,PN,9824,542,25,
2020-09-11,PS,5811,396,24,
2020-09-11,RC,9864,922,10,
2020-09-11,RN,4580,401,49,
2020-09-11,RS,8477,767,22,
2020-09-11,S,8548,121,62,
2020-09-11,T,7335,426,34,
2020-09-12,A,4118,111,14,
2020-09-12,B,1405,83,5,
2020-09-12,C,2353,96,15,
2020-09-12,D,7313,166,13,
2020-09-12,E,6303,37,15,
2020-09-12,FN,6350,216,10,
2020-09-12,FS,7356,199,31,
2020-09-12,GN,9257,431,13,
2020-09-12,GS,6817,224,6,
2020-09-12,HE,5429,248,17,
2020-09-12,HW,4940,328,8,
2020-09-12,KE,9908,479,44,
2020-09-12,KW,9666,680,33,
2020-09-12,L,6681,125,61,
2020-09-12,ME,5453,88,27,
2020-09-12,MW,4772,175,7,
2020-09-12,N,8449,546,12,
2020-09-12,PN,9967,589,23,
2020-09-12,PS,5887,410,24,
2020-09-12,RC,10056,1006,10,
2020-09-12,RN,4678,413,49,
2020-09-12,RS,8641,767,22,
2020-09-12,S,8611,125,62,
2020-09-12,T,7446,441,34,
2020-09-13,A,4192,111,14,
2020-09-13,B,1430,93,8,
2020-09-13,C,2390,105,15,
2020-09-13,D,7439,240,13,
2020-09-13,E,6352,37,15,
2020-09-13,FN,6432,310,10,
2020-09-13,FS,7418,204,31,
2020-09-13,GN,9343,439,13,
2020-09-13,GS,6888,224,6,
2020-09-13,HE,5496,258,17,
2020-09-13,HW,5020,345,8,
2020-09-13,KE,10027,479,44,
2020-09-13,KW,9812,685,32,
2020-09-13,L,6722,129,64,
2020-09-13,ME,5498,88,27,
2020-09-13,MW,4836,175,7,
2020-09-13,N,8515,546,12,
2020-09-13,PN,10079,610,26,
2020-09-13,PS,5970,428,25,
2020-09-13,RC,10223,1229,10,
2020-09-13,RN,4746,413,49,
2020-09-13,RS,8757,850,22,
2020-09-13,S,8679,124,64,
2020-09-13,T,7553,515,32,
2020-09-14,A,4215,113,17,
2020-09-14,B,1455,96,8,
2020-09-14,C,2412,98,15,
2020-09-14,D,7546,275,17,
2020-09-14,E,6426,37,15,
2020-09-14,FN,6532,310,10,
2020-09-14,FS,7482,176,31,
2020-09-14,GN,9471,470,13,
2020-09-14,GS,6953,234,6,
2020-09-14,HE,5566,271,17,
2020-09-14,HW,5104,362,8,
2020-09-14,KE,10139,473,44,
2020-09-14,KW,9983,695,35,
2020-09-14,L,6773,129,64,
2020-09-14,ME,5624,93,30,
2020-09-14,MW,4916,180,7,
2020-09-14,N,8605,520,13,
2020-09-14,PN,10213,542,26,
2020-09-14,PS,6055,439,24,
2020-09-14,RC,10395,1317,10,
2020-09-14,RN,4831,431,55,
2020-09-14,RS,8894,849,30,
2020-09-14,S,8770,124,65,
2020-09-14,T,7690,529,32,
2020-09-15,A,4252,113,17,
2020-09-15,B,1467,96,8,
2020-09-15,C,2429,98,15,
2020-09-15,D,7627,275,17,
2020-09-15,E,6462,37,15,
2020-09-15,FN,6590,310,10,
2020-09-15,FS,7526,176,31,
2020-09-15,GN,9520,470,13,
2020-09-15,GS,6992,234,6,
2020-09-15,HE,5609,271,17,
2020-09-15,HW,5185,362,8,
2020-09-15,KE,10232,473,44,
2020-09-15,KW,10139,695,35,
2020-09-15,L,6829,129,64,
2020-09-15,ME,5666,93,30,
2020-09-15,MW,4955,180,7,
2020-09-15,N,8665,520,13,
2020-09-15,PN,10302,542,26,
2020-09-15,PS,6112,439,24,
2020-09-15,RC,10537,1317,10,
2020-09-15,RN,4866,431,55,
2020-09-15,RS,8999,849,30,
2020-09-15,S,8819,124,65,
2020-09-15,T,7763,529,32,
2020-09-16,A,4305,114,21,
2020-09-16,B,1487,112,8,
2020-09-16,C,2461,102,14,
2020-09-16,D,7745,292,18,
2020-09-16,E,6532,37,15,
2020-09-16,FN,6700,310,10,
2020-09-16,FS,7586,183,32,
2020-09-16,GN,9597,477,13,
2020-09-16,GS,7065,238,6,
2020-09-16,HE,5675,283,17,
2020-09-16,HW,5309,411,7,
2020-09-16,KE,10375,526,44,
2020-09-16,KW,10331,741,34,
2020-09-16,L,6884,136,47,
2020-09-16,ME,5717,95,34,
2020-09-16,MW,5016,174,7,
2020-09-16,N,8749,523,13,
2020-09-16,PN,10427,639,26,
2020-09-16,PS,6203,462,24,
2020-09-16,RC,10733,1538,10,
2020-09-16,RN,4950,431,64,
2020-09-16,RS,9112,864,29,
2020-09-16,S,8874,129,64,
2020-09-16,T,7895,548,33,
2020-09-17,A,4367,122,24,
2020-09-17,B,1501,116,9,
2020-09-17,C,2498,107,14,
2020-09-17,D,7848,291,16,
2020-09-17,E,6594,37,15,
2020-09-17,FN,6794,310,10,
2020-09-17,FS,7657,188,33,
2020-09-17,GN,9704,534,13,
2020-09-17,GS,7134,236,6,
2020-09-17,HE,5715,283,17,
2020-09-17,HW,5420,411,7,
2020-09-17,KE,10517,526,42,
2020-09-17,KW,10475,751,36,
2020-09-17,L,6935,136,31,
2020-09-17,ME,5792,93,33,
2020-09-17,MW,5094,173,7,
2020-09-17,N,8871,569,13,
2020-09-17,PN,10548,687,27,
2020-09-17,PS,6282,459,25,
2020-09-17,RC,10927,1538,10,
2020-09-17,RN,5038,470,68,
2020-09-17,RS,9272,937,30,
2020-09-17,S,9004,129,65,
2020-09-17,T,7987,562,34,
2020-09-18,A,,126,22,
2020-09-18,B,,123,9,
2020-09-18,C,,113,14,
2020-09-18,D,,293,16,
2020-09-18,E,,37,15,
2020-09-18,FN,,310,10,
2020-09-18,FS,,194,33,
2020-09-18,GN,,568,17,
2020-09-18,GS,,266,4,
2020-09-18,HE,,291,17,
2020-09-18,HW,,395,7,
2020-09-18,KE,,526,31,
2020-09-18,KW,,777,36,
2020-09-18,L,,130,32,
2020-09-18,ME,,98,31,
2020-09-18,MW,,195,7,
2020-09-18,N,,616,13,
2020-09-18,PN,,695,25,
2020-09-18,PS,,467,27,
2020-09-18,RC,,1656,10,
2020-09-18,RN,,454,66,
2020-09-18,RS,,928,30,
2020-09-18,S,,141,65,
2020-09-18,T,,569,35,
2020-09-19,A,4480,127,25,
2020-09-19,B,1533,121,9,
2020-09-19,C,2585,116,14,
2020-09-19,D,8068,305,18,
2020-09-19,E,6746,37,15,
2020-09-19,FN,6990,310,10,
2020-09-19,FS,7818,203,33,
2020-09-19,GN,9889,548,17,
2020-09-19,GS,7285,259,4,
2020-09-19,HE,5848,295,19,
2020-09-19,HW,5595,421,8,
2020-09-19,KE,10718,609,30,
2020-09-19,KW,10789,799,39,
2020-09-19,L,7057,130,32,
2020-09-19,ME,5906,99,51,
2020-09-19,MW,5222,192,7,
2020-09-19,N,9073,534,13,
2020-09-19,PN,10791,720,27,
2020-09-19,PS,6433,455,27,
2020-09-19,RC,11265,1146,10,
2020-09-19,RN,5209,467,71,
2020-09-19,RS,9509,922,30,
2020-09-19,S,9187,136,65,
2020-09-19,T,8190,576,35,
2020-09-20,A,4535,127,25,
2020-09-20,B,1554,129,10,
2020-09-20,C,2621,115,14,
2020-09-20,D,8174,312,19,
2020-09-20,E,6809,37,15,
2020-09-20,FN,7068,310,10,
2020-09-20,FS,7879,207,33,
2020-09-20,GN,9965,547,17,
2020-09-20,GS,7354,259,4,
2020-09-20,HE,5923,306,20,
2020-09-20,HW,5711,429,8,
2020-09-20,KE,10838,609,30,
2020-09-20,KW,10939,798,39,
2020-09-20,L,7136,130,32,
2020-09-20,ME,5956,101,51,
2020-09-20,MW,5283,192,7,
2020-09-20,N,9164,578,13,
2020-09-20,PN,10922,720,27,
2020-09-20,PS,6492,452,27,
2020-09-20,RC,11450,1335,10,
2020-09-20,RN,5290,432,68,
2020-09-20,RS,9638,1010,32,
2020-09-20,S,9285,142,64,
2020-09-20,T,8287,588,36,
2020-09-21,A,4559,130,25,
2020-09-21,B,1563,132,12,
2020-09-21,C,2642,120,14,
2020-09-21,D,8249,309,20,
2020-09-21,E,6879,37,15,
2020-09-21,FN,7140,310,10,
2020-09-21,FS,7931,215,33,
2020-09-21,GN,10029,533,17,
2020-09-21,GS,7406,267,4,
2020-09-21,HE,5977,323,20,
2020-09-21,HW,5792,441,8,
2020-09-21,KE,10940,674,30,
2020-09-21,KW,11084,810,39,
2020-09-21,L,7192,127,32,
2020-09-21,ME,6010,96,51,
2020-09-21,MW,5338,178,9,
2020-09-21,N,9244,613,13,
2020-09-21,PN,11054,800,27,
2020-09-21,PS,6569,452,27,
2020-09-21,RC,11580,1335,10,
2020-09-21,RN,5328,446,68,
2020-09-21,RS,9746,975,32,
2020-09-21,S,9390,145,65,
2020-09-21,T,8364,597,36,
2020-09-22,A,4593,130,25,
2020-09-22,B,1577,131,12,
2020-09-22,C,2667,120,14,
2020-09-22,D,8344,311,20,
2020-09-22,E,6947,37,15,
2020-09-22,FN,7180,310,10,
2020-09-22,FS,7971,221,33,
2020-09-22,GN,10093,545,17,
2020-09-22,GS,7453,272,4,
2020-09-22,HE,6022,333,22,
2020-09-22,HW,5864,450,9,
2020-09-22,KE,11044,674,30,
2020-09-22,KW,11211,819,39,
2020-09-22,L,7240,127,33,
2020-09-22,ME,6051,109,58,
2020-09-22,MW,5374,186,9,
2020-09-22,N,9299,523,13,
2020-09-22,PN,11153,770,26,
2020-09-22,PS,6633,435,28,
2020-09-22,RC,11724,1635,10,
2020-09-22,RN,5364,474,73,
2020-09-22,RS,9816,951,31,
2020-09-22,S,9456,145,66,
2020-09-22,T,8437,611,36,
2020-09-23,A,,126,26,
2020-09-23,B,,133,13,
2020-09-23,C,,118,14,
2020-09-23,D,,311,20,
2020-09-23,E,,37,15,
2020-09-23,FN,,310,10,
2020-09-23,FS,,226,33,
2020-09-23,GN,,545,17,
2020-09-23,GS,,272,4,
2020-09-23,HE,,335,22,
2020-09-23,HW,,450,9,
2020-09-23,KE,,674,75,
2020-09-23,KW,,820,39,
2020-09-23,L,,126,35,
2020-09-23,ME,,110,58,
2020-09-23,MW,,180,9,
2020-09-23,N,,551,13,
2020-09-23,PN,,776,29,
2020-09-23,PS,,421,28,
2020-09-23,RC,,1635,10,
2020-09-23,RN,,479,78,
2020-09-23,RS,,951,31,
2020-09-23,S,,144,65,
2020-09-23,T,,590,41,
2020-09-24,A,4644,134,26,
2020-09-24,B,1602,119,10,
2020-09-24,C,2698,119,14,
2020-09-24,D,8544,316,21,
2020-09-24,E,7040,37,15,
2020-09-24,FN,7356,706,15,
2020-09-24,FS,8068,229,32,
2020-09-24,GN,10293,561,17,
2020-09-24,GS,7566,280,4,
2020-09-24,HE,6134,341,24,
2020-09-24,HW,6038,467,9,
2020-09-24,KE,11284,670,70,
2020-09-24,KW,11503,821,40,
2020-09-24,L,7373,126,35,
2020-09-24,ME,6130,109,57,
2020-09-24,MW,5498,169,9,
2020-09-24,N,9472,596,13,
2020-09-24,PN,11410,824,29,
2020-09-24,PS,6776,423,26,
2020-09-24,RC,12070,1747,10,
2020-09-24,RN,5510,472,74,
2020-09-24,RS,10101,873,30,
2020-09-24,S,9573,143,65,
2020-09-24,T,8642,589,41,
2020-09-25,A,4697,134,26,
2020-09-25,B,1607,119,10,
2020-09-25,C,2710,119,14,
2020-09-25,D,8623,316,21,
2020-09-25,E,7094,37,15,
2020-09-25,FN,7427,706,15,
2020-09-25,FS,8118,229,32,
2020-09-25,GN,10343,561,17,
2020-09-25,GS,7615,280,4,
2020-09-25,HE,6192,341,24,
2020-09-25,HW,6110,467,9,
2020-09-25,KE,11387,670,70,
2020-09-25,KW,11672,821,40,
2020-09-25,L,7413,126,35,
2020-09-25,ME,6170,109,57,
2020-09-25,MW,5529,169,9,
2020-09-25,N,9553,596,13,
2020-09-25,PN,11506,824,29,
2020-09-25,PS,6853,423,26,
2020-09-25,RC,12252,1747,10,
2020-09-25,RN,5571,472,74,
2020-09-25,RS,10230,873,30,
2020-09-25,S,9656,143,65,
2020-09-25,T,8734,589,41,
2020-09-26,A,4752,140,23,
2020-09-26,B,1619,113,8,
2020-09-26,C,2753,115,14,
2020-09-26,D,8758,330,17,
2020-09-26,E,7169,39,15,
2020-09-26,FN,7529,438,15,
2020-09-26,FS,8188,235,32,
2020-09-26,GN,10423,456,8,
2020-09-26,GS,7687,265,4,
2020-09-26,HE,6248,331,24,
2020-09-26,HW,6203,515,9,
2020-09-26,KE,11503,517,70,
2020-09-26,KW,11829,815,41,
2020-09-26,L,7473,130,34,
2020-09-26,ME,6224,109,53,
2020-09-26,MW,5589,168,9,
2020-09-26,N,9613,512,30,
2020-09-26,PN,11659,760,29,
2020-09-26,PS,6930,410,24,
2020-09-26,RC,12429,1804,10,
2020-09-26,RN,5643,496,75,
2020-09-26,RS,10362,846,27,
2020-09-26,S,9739,140,64,
2020-09-26,T,8837,605,41,
2020-09-27,A,4817,137,23,
2020-09-27,B,1629,111,8,
2020-09-27,C,2781,113,13,
2020-09-27,D,8891,316,15,
2020-09-27,E,7223,39,15,
2020-09-27,FN,7612,438,15,
2020-09-27,FS,8260,238,32,
2020-09-27,GN,10503,456,8,
2020-09-27,GS,7770,265,4,
2020-09-27,HE,6314,324,24,
2020-09-27,HW,6297,512,7,
2020-09-27,KE,11614,517,70,
2020-09-27,KW,11963,816,40,
2020-09-27,L,7532,130,34,
2020-09-27,ME,6275,109,53,
2020-09-27,MW,5655,168,9,
2020-09-27,N,9676,544,34,
2020-09-27,PN,11796,760,29,
2020-09-27,PS,7020,410,24,
2020-09-27,RC,12654,1804,10,
2020-09-27,RN,5702,496,75,
2020-09-27,RS,10499,846,27,
2020-09-27,S,9863,138,66,
2020-09-27,T,8949,611,41,
2020-09-28,A,4863,142,24,
2020-09-28,B,1638,115,8,
2020-09-28,C,2800,116,13,
2020-09-28,D,9039,322,18,
2020-09-28,E,7289,39,15,
2020-09-28,FN,7678,585,15,
2020-09-28,FS,8336,177,32,
2020-09-28,GN,10586,462,15,
2020-09-28,GS,7837,278,4,
2020-09-28,HE,6383,324,24,
2020-09-28,HW,6386,480,7,
2020-09-28,KE,11762,436,70,
2020-09-28,KW,12131,821,39,
2020-09-28,L,7597,134,34,
2020-09-28,ME,6328,99,46,
2020-09-28,MW,5707,162,9,
2020-09-28,N,9762,498,34,
2020-09-28,PN,11883,767,28,
2020-09-28,PS,7084,418,24,
2020-09-28,RC,12768,1804,10,
2020-09-28,RN,5759,473,67,
2020-09-28,RS,10607,814,26,
2020-09-28,S,9932,143,63,
2020-09-28,T,9071,626,41,
2020-09-29,A,4897,142,24,
2020-09-29,B,1648,115,8,
2020-09-29,C,2824,116,13,
2020-09-29,D,9128,322,18,
2020-09-29,E,7338,39,15,
2020-09-29,FN,7730,585,15,
2020-09-29,FS,8386,177,32,
2020-09-29,GN,10646,462,15,
2020-09-29,GS,7869,278,4,
2020-09-29,HE,6439,324,24,
2020-09-29,HW,6457,480,7,
2020-09-29,KE,11845,436,70,
2020-09-29,KW,12240,821,39,
2020-09-29,L,7643,134,34,
2020-09-29,ME,6385,99,46,
2020-09-29,MW,5742,162,9,
2020-09-29,N,9817,498,34,
2020-09-29,PN,11998,767,28,
2020-09-29,PS,7161,418,24,
2020-09-29,RC,12918,1804,10,
2020-09-29,RN,5800,473,67,
2020-09-29,RS,10720,814,26,
2020-09-29,S,10030,143,63,
2020-09-29,T,9175,626,41,
2020-09-30,A,4944,145,25,
2020-09-30,B,1657,119,8,
2020-09-30,C,2868,118,13,
2020-09-30,D,9263,325,18,
2020-09-30,E,7394,39,15,
2020-09-30,FN,7818,585,15,
2020-09-30,FS,8461,185,32,
2020-09-30,GN,10765,462,13,
2020-09-30,GS,7949,281,4,
2020-09-30,HE,6499,319,24,
2020-09-30,HW,6566,503,7,
2020-09-30,KE,11998,603,69,
2020-09-30,KW,12433,818,38,
2020-09-30,L,7721,137,33,
2020-09-30,ME,6446,101,44,
2020-09-30,MW,5820,158,9,
2020-09-30,N,9934,537,34,
2020-09-30,PN,12143,740,28,
2020-09-30,PS,7281,411,24,
2020-09-30,RC,13176,1804,10,
2020-09-30,RN,5888,460,70,
2020-09-30,RS,10880,817,28,
2020-09-30,S,10163,147,63,
2020-09-30,T,9277,636,41,
2020-10-01,A,4990,149,23,
2020-10-01,B,1672,103,8,
2020-10-01,C,2914,114,13,
2020-10-01,D,9418,346,18,
2020-10-01,E,7463,39,15,
2020-10-01,FN,7881,762,15,
2020-10-01,FS,8529,191,32,
2020-10-01,GN,10830,474,20,
2020-10-01,GS,8026,284,4,
2020-10-01,HE,6580,331,24,
2020-10-01,HW,6662,453,4,
2020-10-01,KE,12146,602,69,
2020-10-01,KW,12589,820,38,
2020-10-01,L,7800,140,30,
2020-10-01,ME,6497,109,48,
2020-10-01,MW,5865,154,9,
2020-10-01,N,10031,551,34,
2020-10-01,PN,12276,724,28,
2020-10-01,PS,7375,421,23,
2020-10-01,RC,13386,1804,10,
2020-10-01,RN,5987,419,65,
2020-10-01,RS,11042,829,31,
2020-10-01,S,10239,161,65,
2020-10-01,T,9373,657,41,
2020-10-02,A,5040,150,25,
2020-10-02,B,1688,92,9,
2020-10-02,C,2949,106,14,
2020-10-02,D,9550,357,20,
2020-10-02,E,7540,49,15,
2020-10-02,FN,7954,762,15,
2020-10-02,FS,8591,197,32,
2020-10-02,GN,10948,474,20,
2020-10-02,GS,8095,284,4,
2020-10-02,HE,6658,332,24,
2020-10-02,HW,6764,450,4,
2020-10-02,KE,12288,613,69,
2020-10-02,KW,12748,810,37,
2020-10-02,L,7876,140,32,
2020-10-02,ME,6557,102,40,
2020-10-02,MW,5915,154,9,
2020-10-02,N,10123,601,34,
2020-10-02,PN,12424,724,27,
2020-10-02,PS,7464,411,24,
2020-10-02,RC,13625,331,10,
2020-10-02,RN,6081,483,73,
2020-10-02,RS,11182,830,32,
2020-10-02,S,10344,164,64,
2020-10-02,T,9453,664,41,
2020-10-03,A,5108,146,23,
2020-10-03,B,1699,102,11,
2020-10-03,C,2987,101,14,
2020-10-03,D,9679,338,20,
2020-10-03,E,7618,49,15,
2020-10-03,FN,8044,762,15,
2020-10-03,FS,8661,200,32,
2020-10-03,GN,11046,474,20,
2020-10-03,GS,8169,285,3,
2020-10-03,HE,6748,329,24,
2020-10-03,HW,6858,467,4,
2020-10-03,KE,12424,612,69,
2020-10-03,KW,12902,807,37,
2020-10-03,L,7963,152,30,
2020-10-03,ME,6610,102,40,
2020-10-03,MW,5965,160,9,
2020-10-03,N,10224,511,34,
2020-10-03,PN,12534,724,27,
2020-10-03,PS,7572,414,24,
2020-10-03,RC,13865,331,10,
2020-10-03,RN,6152,485,73,
2020-10-03,RS,11313,838,32,
2020-10-03,S,10413,157,66,
2020-10-03,T,9533,664,41,
2020-10-04,A,5190,140,22,
2020-10-04,B,1711,96,7,
2020-10-04,C,3015,98,13,
2020-10-04,D,9778,355,20,
2020-10-04,E,7682,49,15,
2020-10-04,FN,8121,762,15,
2020-10-04,FS,8699,201,32,
2020-10-04,GN,11124,474,20,
2020-10-04,GS,8243,285,7,
2020-10-04,HE,6816,324,24,
2020-10-04,HW,6950,434,4,
2020-10-04,KE,12574,612,69,
2020-10-04,KW,13063,813,39,
2020-10-04,L,8026,152,30,
2020-10-04,ME,6643,88,34,
2020-10-04,MW,6028,160,9,
2020-10-04,N,10296,564,34,
2020-10-04,PN,12636,724,27,
2020-10-04,PS,7655,414,25,
2020-10-04,RC,14046,331,10,
2020-10-04,RN,6219,485,73,
2020-10-04,RS,11455,838,32,
2020-10-04,S,10482,152,61,
2020-10-04,T,9628,664,41,
2020-10-05,A,5218,152,21,
2020-10-05,B,1723,102,7,
2020-10-05,C,3031,98,14,
2020-10-05,D,9881,357,18,
2020-10-05,E,7728,49,15,
2020-10-05,FN,8186,762,15,
2020-10-05,FS,8767,203,32,
2020-10-05,GN,11197,489,21,
2020-10-05,GS,8300,293,7,
2020-10-05,HE,6885,330,24,
2020-10-05,HW,7039,434,4,
2020-10-05,KE,12696,508,56,
2020-10-05,KW,13188,804,43,
2020-10-05,L,8068,149,34,
2020-10-05,ME,6688,93,33,
2020-10-05,MW,6078,167,9,
2020-10-05,N,10366,608,34,
2020-10-05,PN,12720,704,24,
2020-10-05,PS,7728,423,25,
2020-10-05,RC,14160,1316,10,
2020-10-05,RN,6274,450,67,
2020-10-05,RS,11606,786,34,
2020-10-05,S,10541,157,61,
2020-10-05,T,9734,672,41,
2020-10-06,A,5271,157,20,
2020-10-06,B,1736,99,8,
2020-10-06,C,3053,89,14,
2020-10-06,D,9968,352,19,
2020-10-06,E,7773,49,15,
2020-10-06,FN,8257,762,15,
2020-10-06,FS,8828,208,32,
2020-10-06,GN,11283,396,23,
2020-10-06,GS,8359,292,7,
2020-10-06,HE,6935,332,24,
2020-10-06,HW,7109,477,4,
2020-10-06,KE,12803,542,56,
2020-10-06,KW,13303,810,44,
2020-10-06,L,8124,157,33,
2020-10-06,ME,6731,92,33,
2020-10-06,MW,6122,146,9,
2020-10-06,N,10431,554,34,
2020-10-06,PN,12820,690,24,
2020-10-06,PS,7816,451,24,
2020-10-06,RC,14263,1316,10,
2020-10-06,RN,6321,445,66,
2020-10-06,RS,11718,840,35,
2020-10-06,S,10593,160,61,
2020-10-06,T,9793,681,41,
2020-10-07,A,5315,156,19,
2020-10-07,B,1750,95,8,
2020-10-07,C,3089,87,15,
2020-10-07,D,10080,357,20,
2020-10-07,E,7841,49,15,
2020-10-07,FN,8328,762,15,
2020-10-07,FS,8894,157,32,
2020-10-07,GN,11375,392,17,
2020-10-07,GS,8436,298,7,
2020-10-07,HE,7013,339,21,
2020-10-07,HW,7211,472,5,
2020-10-07,KE,12972,545,56,
2020-10-07,KW,13500,816,45,
2020-10-07,L,8223,157,33,
2020-10-07,ME,6846,93,31,
2020-10-07,MW,6204,154,8,
2020-10-07,N,10593,586,34,
2020-10-07,PN,12934,699,23,
2020-10-07,PS,7910,439,24,
2020-10-07,RC,14520,1316,10,
2020-10-07,RN,6418,457,65,
2020-10-07,RS,11916,831,35,
2020-10-07,S,10714,162,64,
2020-10-07,T,10008,680,41,
2020-10-08,A,5373,164,19,
2020-10-08,B,1757,101,9,
2020-10-08,C,3133,82,15,
2020-10-08,D,10182,365,18,
2020-10-08,E,7885,49,15,
2020-10-08,FN,8416,762,15,
2020-10-08,FS,8961,164,32,
2020-10-08,GN,11432,413,20,
2020-10-08,GS,8508,294,7,
2020-10-08,HE,7122,358,23,
2020-10-08,HW,7292,446,5,
2020-10-08,KE,13108,507,64,
2020-10-08,KW,13670,835,44,
2020-10-08,L,8280,160,34,
2020-10-08,ME,7020,93,28,
2020-10-08,MW,6258,160,9,
2020-10-08,N,10718,647,34,
2020-10-08,PN,13098,704,23,
2020-10-08,PS,8002,406,25,
2020-10-08,RC,14711,979,10,
2020-10-08,RN,6523,457,55,
2020-10-08,RS,12088,850,29,
2020-10-08,S,10882,170,64,
2020-10-08,T,10256,697,48,
2020-10-09,A,5404,157,19,
2020-10-09,B,1774,101,9,
2020-10-09,C,3159,83,16,
2020-10-09,D,10308,378,18,
2020-10-09,E,7955,49,15,
2020-10-09,FN,8500,762,15,
2020-10-09,FS,9013,167,32,
2020-10-09,GN,11505,438,21,
2020-10-09,GS,8566,281,7,
2020-10-09,HE,7189,371,23,
2020-10-09,HW,7372,499,9,
2020-10-09,KE,13225,542,62,
2020-10-09,KW,13829,845,44,
2020-10-09,L,8345,164,36,
2020-10-09,ME,7088,86,28,
2020-10-09,MW,6313,174,9,
2020-10-09,N,10805,700,34,
2020-10-09,PN,13242,704,23,
2020-10-09,PS,8063,406,25,
2020-10-09,RC,14848,1014,10,
2020-10-09,RN,6594,470,64,
2020-10-09,RS,12245,857,29,
2020-10-09,S,10954,170,64,
2020-10-09,T,10306,703,48,
2020-10-10,A,5424,150,18,
2020-10-10,B,1786,98,11,
2020-10-10,C,3185,88,16,
2020-10-10,D,10424,370,18,
2020-10-10,E,8015,49,15,
2020-10-10,FN,8581,549,16,
2020-10-10,FS,9062,172,32,
2020-10-10,GN,11578,448,21,
2020-10-10,GS,8612,285,7,
2020-10-10,HE,7268,381,24,
2020-10-10,HW,7458,575,9,
2020-10-10,KE,13360,556,65,
2020-10-10,KW,13983,846,43,
2020-10-10,L,8416,164,36,
2020-10-10,ME,7150,75,25,
2020-10-10,MW,6384,174,9,
2020-10-10,N,10918,533,34,
2020-10-10,PN,13365,744,23,
2020-10-10,PS,8127,351,25,
2020-10-10,RC,15021,1014,10,
2020-10-10,RN,6664,468,61,
2020-10-10,RS,12381,857,29,
2020-10-10,S,11064,170,65,
2020-10-10,T,10438,706,48,
2020-10-11,A,5485,155,17,
2020-10-11,B,1796,104,9,
2020-10-11,C,3213,93,16,
2020-10-11,D,10521,377,16,
2020-10-11,E,8057,49,15,
2020-10-11,FN,8653,549,16,
2020-10-11,FS,9136,180,32,
2020-10-11,GN,11652,346,18,
2020-10-11,GS,8658,285,7,
2020-10-11,HE,7341,376,24,
2020-10-11,HW,7559,575,9,
2020-10-11,KE,13477,556,65,
2020-10-11,KW,14095,846,41,
2020-10-11,L,8500,158,35,
2020-10-11,ME,7202,75,25,
2020-10-11,MW,6439,179,9,
2020-10-11,N,11001,621,34,
2020-10-11,PN,13493,744,23,
2020-10-11,PS,8221,351,25,
2020-10-11,RC,15213,1014,10,
2020-10-11,RN,6739,490,64,
2020-10-11,RS,12545,857,29,
2020-10-11,S,11160,175,65,
2020-10-11,T,10562,717,48,
2020-10-12,A,5555,149,15,
2020-10-12,B,1804,96,8,
2020-10-12,C,3229,93,16,
2020-10-12,D,10595,369,17,
2020-10-12,E,8113,49,15,
2020-10-12,FN,8708,682,16,
2020-10-12,FS,9172,149,32,
2020-10-12,GN,11719,363,22,
2020-10-12,GS,8687,274,7,
2020-10-12,HE,7387,365,24,
2020-10-12,HW,7634,510,9,
2020-10-12,KE,13552,556,65,
2020-10-12,KW,14248,838,42,
2020-10-12,L,8548,158,35,
2020-10-12,ME,7237,56,16,
2020-10-12,MW,6478,169,9,
2020-10-12,N,11062,653,34,
2020-10-12,PN,13579,744,23,
2020-10-12,PS,8299,348,24,
2020-10-12,RC,15299,1093,10,
2020-10-12,RN,6806,516,69,
2020-10-12,RS,12640,838,27,
2020-10-12,S,11243,174,65,
2020-10-12,T,10647,721,48,
2020-10-13,A,5581,144,14,
2020-10-13,B,1809,96,8,
2020-10-13,C,3244,83,16,
2020-10-13,D,10659,364,17,
2020-10-13,E,8142,49,15,
2020-10-13,FN,8745,682,16,
2020-10-13,FS,9214,155,30,
2020-10-13,GN,11763,377,23,
2020-10-13,GS,8734,269,8,
